Red,Green,Blue,Color
111,45,168,Violeta
154,44,160,Violeta
102,2,60,Violeta
100,83,148,Violeta
191,0,255,Violeta
120,81,169,Violeta
246,153,205,Rosado
252,148,175,Rosado
252,70,170,Rosado
242,82,120,Rosado
254,197,229,Rosado
254,127,156,Rosado
253,164,186,Rosado
242,107,138,Rosado
253,171,159,Rosado
254,125,106,Rosado
252,148,131,Rosado
252,76,78,Rosado
158,66,68,Rosado
252,186,203,Rosado
250,134,196,Rosado
253,93,168,Rosado
247,154,192,Rosado
242,184,198,Rosado
225,21,132,Rosado
255,22,148,Rosado
229,43,80,Rosado
227,37,107,Rosado
255,166,201,Rosado
255,153,153,Rosado
255,182,193,Rosado
255,209,220,Rosado
255,183,197,Rosado
244,194,194,Rosado
231,84,128,Rosado
255,0,127,Rosado
255,110,199,Rosado
255,0,255,Rosado
255,142,142,Rosado
253,221,230,Rosado
255,188,217,Rosado
239,187,204,Rosado
246,74,138,Rosado
247,127,190,Rosado
228,113,122,Rosado
222,49,99,Rosado
204,78,92,Rosado
255,20,147,Rosado
229,204,201,Rosado
246,173,198,Rosado
255,67,164,Rosado
209,0,86,Rosado
244,0,161,Rosado
228,0,124,Rosado
204,51,102,Rosado
249,66,158,Rosado
35,23,9,Marron
75,55,28,Marron
60,40,13,Marron
121,92,52,Marron
54,37,17,Marron
55,29,16,Marron
63,48,29,Marron
74,37,17,Marron
67,38,22,Marron
101,53,15,Marron
94,44,4,Marron
72,31,1,Marron
46,21,3,Marron
154,123,79,Marron
53,35,21,Marron
128,71,28,Marron
59,30,8,Marron
101,42,14,Marron
83,41,21,Marron
74,55,40,Marron
159,129,112,Marron
61,43,31,Marron
121,68,59,Marron
138,51,36,Marron
166,123,91,Marron
75,54,33,Marron
111,78,55,Marron
112,66,65,Marron
184,115,51,Marron
101,67,33,Marron
72,60,50,Marron
194,178,128,Marron
153,101,21,Marron
195,176,145,Marron
204,119,34,Marron
181,101,29,Marron
139,69,19,Marron
128,70,27,Marron
160,82,45,Marron
205,149,117,Marron
222,184,135,Marron
205,133,63,Marron
222,170,136,Marron
209,190,168,Marron
193,154,107,Marron
160,120,90,Marron
186,135,89,Marron
155,118,83,Marron
150,90,62,Marron
167,85,2,Marron
0,0,0,Negro
8,4,2,Negro
13,9,7,Negro
40,35,29,Negro
4,4,6,Negro
7,5,4,Negro
5,3,1,Negro
5,1,0,Negro
10,8,6,Negro
3,1,4,Negro
3,0,1,Negro
22,13,8,Negro
6,6,6,Negro
3,3,3,Negro
12,9,8,Negro
14,12,10,Negro
2,4,3,Negro
0,3,2,Negro
4,2,0,Negro
11,7,5,Negro
12,4,4,Negro
26,17,16,Negro
12,9,10,Negro
35,43,43,Negro
26,36,33,Negro
27,27,27,Negro
36,33,36,Negro
16,12,8,Negro
1,1,39,Negro
11,11,11,Negro
25,28,39,Negro
15,4,4,Negro
21,25,34,Negro
25,28,32,Negro
14,12,1,Negro
16,14,9,Negro
11,5,16,Negro
26,34,40,Negro
27,24,17,Negro
18,3,33,Negro
26,26,26,Negro
28,28,28,Negro
26,15,15,Negro
22,19,17,Negro
13,14,14,Negro
22,22,22,Negro
1,2,3,Negro
7,0,11,Negro
31,32,31,Negro
5,2,3,Negro
255,255,255,Blanco
251,252,248,Blanco
254,249,243,Blanco
245,254,253,Blanco
253,246,228,Blanco
255,250,218,Blanco
255,249,227,Blanco
251,251,249,Blanco
251,250,242,Blanco
248,238,236,Blanco
248,242,237,Blanco
255,241,230,Blanco
243,234,211,Blanco
231,222,204,Blanco
250,250,250,Blanco
251,252,250,Blanco
236,251,252,Blanco
255,254,252,Blanco
251,245,223,Blanco
250,245,239,Blanco
255,245,238,Blanco
241,249,236,Blanco
253,255,245,Blanco
248,248,255,Blanco
245,245,245,Blanco
254,254,250,Blanco
255,255,240,Blanco
255,250,240,Blanco
236,243,249,Blanco
255,250,250,Blanco
253,252,250,Blanco
248,251,248,Blanco
255,252,236,Blanco
246,241,244,Blanco
235,245,240,Blanco
246,244,241,Blanco
235,246,247,Blanco
248,244,255,Blanco
242,243,244,Blanco
247,245,246,Blanco
242,247,253,Blanco
248,248,232,Blanco
253,249,239,Blanco
254,255,252,Blanco
238,241,234,Blanco
239,236,225,Blanco
237,242,248,Blanco
252,255,249,Blanco
244,245,240,Blanco
237,241,254,Blanco
